kanji,grade
穫,7
潟,7
轄,7
憾,7
歓,7
環,7
監,7
緩,7
艦,7
還,7
鑑,7
輝,7
騎,7
儀,7
戯,7
擬,7
犠,7
窮,7
矯,7
響,7
驚,7
凝,7
緊,7
襟,7
謹,7
繰,7
勲,7
薫,7
慶,7
憩,7
鶏,7
鯨,7
撃,7
懸,7
謙,7
賢,7
顕,7
顧,7
稿,7
衡,7
購,7
墾,7
懇,7
鎖,7
錯,7
撮,7
擦,7
暫,7
諮,7
賜,7
璽,7
爵,7
趣,7
儒,7
襲,7
醜,7
獣,7
瞬,7
潤,7
遵,7
償,7
礁,7
衝,7
鐘,7
壌,7
嬢,7
譲,7
醸,7
錠,7
嘱,7
審,7
薪,7
震,7
錘,7
髄,7
澄,7
瀬,7
請,7
籍,7
潜,7
繊,7
薦,7
遷,7
鮮,7
繕,7
礎,7
槽,7
燥,7
藻,7
霜,7
騒,7
贈,7
濯,7
濁,7
諾,7
鍛,7
壇,7
鋳,7
駐,7
懲,7
聴,7
鎮,7
墜,7
締,7
徹,7
撤,7
謄,7
踏,7
騰,7
闘,7
篤,7
曇,7
縄,7
濃,7
覇,7
輩,7
賠,7
薄,7
爆,7
縛,7
繁,7
藩,7
範,7
盤,7
罷,7
避,7
賓,7
頻,7
敷,7
膚,7
譜,7
賦,7
舞,7
覆,7
噴,7
墳,7
憤,7
幣,7
弊,7
壁,7
癖,7
舗,7
穂,7
簿,7
縫,7
褒,7
膨,7
謀,7
墨,7
撲,7
翻,7
摩,7
磨,7
魔,7
繭,7
魅,7
霧,7
黙,7
躍,7
癒,7
諭,7
憂,7
融,7
慰,7
窯,7
謡,7
翼,7
羅,7
頼,7
欄,7
濫,7
履,7
離,7
慮,7
寮,7
療,7
糧,7
隣,7
隷,7
霊,7
麗,7
齢,7
擁,7
露,7
藤,8
誰,8
俺,8
岡,8
頃,8
奈,8
阪,8
韓,8
弥,8
那,8
鹿,8
斬,8
虎,8
狙,8
脇,8
熊,8
尻,8
旦,8
闇,8
籠,8
呂,8
亀,8
頬,8
膝,8
鶴,8
匂,8
沙,8
須,8
椅,8
股,8
眉,8
挨,8
拶,8
鎌,8
凄,8
謎,8
稽,8
曾,8
喉,8
拭,8
貌,8
塞,8
